iso3,Date,debt-to-gdp
FRA,2019-10-01,98.104
FRA,2019-11-01,98.104
FRA,2019-12-01,98.104
FRA,2020-01-01,114.831
FRA,2020-02-01,114.831
FRA,2020-03-01,114.831
FRA,2020-04-01,114.831
FRA,2020-05-01,114.831
FRA,2020-06-01,114.831
FRA,2020-07-01,114.831
FRA,2020-08-01,114.831
FRA,2020-09-01,114.831
FRA,2020-10-01,114.831
FRA,2020-11-01,114.831
FRA,2020-12-01,114.831
FRA,2021-01-01,112.703
FRA,2021-02-01,112.703
FRA,2021-03-01,112.703
FRA,2021-04-01,112.703
FRA,2021-05-01,112.703
FRA,2021-06-01,112.703
FRA,2021-07-01,112.703
FRA,2021-08-01,112.703
FRA,2021-09-01,112.703
FRA,2021-10-01,112.703
FRA,2021-11-01,112.703
FRA,2021-12-01,112.703
FRA,2022-01-01,111.286
FRA,2022-02-01,111.286
FRA,2022-03-01,111.286
FRA,2022-04-01,111.286
FRA,2022-05-01,111.286
FRA,2022-06-01,111.286
FRA,2022-07-01,111.286
FRA,2022-08-01,111.286
FRA,2022-09-01,111.286
FRA,2022-10-01,111.286
FRA,2022-11-01,111.286
FRA,2022-12-01,111.286
FRA,2023-01-01,109.733
FRA,2023-02-01,109.733
FRA,2023-03-01,109.733
FRA,2023-04-01,109.733
FRA,2023-05-01,109.733
FRA,2023-06-01,109.733
FRA,2023-07-01,109.733
FRA,2023-08-01,109.733
FRA,2023-09-01,109.733
FRA,2023-10-01,109.733
FRA,2023-11-01,109.733
FRA,2023-12-01,109.733
FRA,2024-01-01,113.105
FRA,2024-02-01,113.105
FRA,2024-03-01,113.105
FRA,2024-04-01,113.105
FRA,2024-05-01,113.105
FRA,2024-06-01,113.105
FRA,2024-07-01,113.105
FRA,2024-08-01,113.105
FRA,2024-09-01,113.105
FRA,2024-10-01,113.105
FRA,2024-11-01,113.105
FRA,2024-12-01,113.105
FRA,2025-01-01,116.301
FRA,2025-02-01,116.301
FRA,2025-03-01,116.301
FRA,2025-04-01,116.301
FRA,2025-05-01,116.301
FRA,2025-06-01,116.301
FRA,2025-07-01,116.301
FRA,2025-08-01,116.301
FRA,2025-09-01,116.301
FRA,2025-10-01,116.301
FRA,2025-11-01,116.301
FRA,2025-12-01,116.301
GBR,1990-01-01,28.48
GBR,1990-02-01,28.48
GBR,1990-03-01,28.48
GBR,1990-04-01,28.48
GBR,1990-05-01,28.48
GBR,1990-06-01,28.48
GBR,1990-07-01,28.48
GBR,1990-08-01,28.48
GBR,1990-09-01,28.48
GBR,1990-10-01,28.48
GBR,1990-11-01,28.48
GBR,1990-12-01,28.48
GBR,1991-01-01,28.481
GBR,1991-02-01,28.481
GBR,1991-03-01,28.481
GBR,1991-04-01,28.481
GBR,1991-05-01,28.481
GBR,1991-06-01,28.481
GBR,1991-07-01,28.481
GBR,1991-08-01,28.481
GBR,1991-09-01,28.481
GBR,1991-10-01,28.481
GBR,1991-11-01,28.481
GBR,1991-12-01,28.481
GBR,1992-01-01,33.227
GBR,1992-02-01,33.227
GBR,1992-03-01,33.227
GBR,1992-04-01,33.227
GBR,1992-05-01,33.227
GBR,1992-06-01,33.227
GBR,1992-07-01,33.227
GBR,1992-08-01,33.227
GBR,1992-09-01,33.227
