Date,Ticker,Open,High,Low,Close
10/17/2016,IGGRC10D,,,,8.4860000
10/18/2016,IGGRC10D,,,,8.4410000
10/19/2016,IGGRC10D,,,,8.4920000
10/20/2016,IGGRC10D,,,,8.4450000
10/21/2016,IGGRC10D,,,,8.4410000
10/24/2016,IGGRC10D,,,,8.4360000
10/25/2016,IGGRC10D,,,,8.3990000
10/26/2016,IGGRC10D,,,,8.3340000
10/27/2016,IGGRC10D,,,,8.3350000
10/28/2016,IGGRC10D,,,,8.3910000
10/31/2016,IGGRC10D,,,,8.3140000
11/01/2016,IGGRC10D,,,,8.3170000
