Date,Ticker,Open,High,Low,Close
01/16/2017,IGGRC10D,,,,7.0160000
01/17/2017,IGGRC10D,,,,7.0200000
01/18/2017,IGGRC10D,,,,7.1490000
01/19/2017,IGGRC10D,,,,7.1450000
01/20/2017,IGGRC10D,,,,7.1160000
01/23/2017,IGGRC10D,,,,7.0910000
01/24/2017,IGGRC10D,,,,7.0290000
01/25/2017,IGGRC10D,,,,7.0170000
01/26/2017,IGGRC10D,,,,6.9200000
01/27/2017,IGGRC10D,,,,7.0790000
01/30/2017,IGGRC10D,,,,7.3670000
01/31/2017,IGGRC10D,,,,7.9330000
02/01/2017,IGGRC10D,,,,7.8190000
02/02/2017,IGGRC10D,,,,7.6320000
02/03/2017,IGGRC10D,,,,7.5780000
02/06/2017,IGGRC10D,,,,7.5420000
02/07/2017,IGGRC10D,,,,7.8230000
02/08/2017,IGGRC10D,,,,7.8390000
02/09/2017,IGGRC10D,,,,7.7310000
02/10/2017,IGGRC10D,,,,7.8030000
02/13/2017,IGGRC10D,,,,7.4150000
02/14/2017,IGGRC10D,,,,7.5280000
02/15/2017,IGGRC10D,,,,7.6300000
02/16/2017,IGGRC10D,,,,7.7590000
02/17/2017,IGGRC10D,,,,7.8420000
02/18/2017,IGGRC10D,,,,7.8970000
02/20/2017,IGGRC10D,,,,7.8330000
02/21/2017,IGGRC10D,,,,7.6590000
02/22/2017,IGGRC10D,,,,7.1780000
02/23/2017,IGGRC10D,,,,7.3330000
02/24/2017,IGGRC10D,,,,7.2630000
02/27/2017,IGGRC10D,,,,7.2510000
02/28/2017,IGGRC10D,,,,7.1920000
03/01/2017,IGGRC10D,,,,7.1580000
03/02/2017,IGGRC10D,,,,7.0380000
03/03/2017,IGGRC10D,,,,7.0900000
03/06/2017,IGGRC10D,,,,7.0820000
03/07/2017,IGGRC10D,,,,7.1030000
03/08/2017,IGGRC10D,,,,7.1940000
03/09/2017,IGGRC10D,,,,7.1970000
03/10/2017,IGGRC10D,,,,7.2200000
03/13/2017,IGGRC10D,,,,7.2040000
03/14/2017,IGGRC10D,,,,7.1920000
03/15/2017,IGGRC10D,,,,7.2780000
03/16/2017,IGGRC10D,,,,7.3560000
03/17/2017,IGGRC10D,,,,7.3880000
03/20/2017,IGGRC10D,,,,7.4230000
03/21/2017,IGGRC10D,,,,7.4940000
03/22/2017,IGGRC10D,,,,7.4480000
03/23/2017,IGGRC10D,,,,7.4030000
03/24/2017,IGGRC10D,,,,7.3910000
03/28/2017,IGGRC10D,,,,7.1010000
03/29/2017,IGGRC10D,,,,7.1240000
03/30/2017,IGGRC10D,,,,6.9490000
03/31/2017,IGGRC10D,,,,6.9340000
04/03/2017,IGGRC10D,,,,6.9750000
04/04/2017,IGGRC10D,,,,7.0320000
04/05/2017,IGGRC10D,,,,7.1010000
04/06/2017,IGGRC10D,,,,7.1110000
04/07/2017,IGGRC10D,,,,7.0860000
04/10/2017,IGGRC10D,,,,6.7760000
04/11/2017,IGGRC10D,,,,6.7830000
04/12/2017,IGGRC10D,,,,6.7140000
04/13/2017,IGGRC10D,,,,6.6540000
04/14/2017,IGGRC10D,,,,6.6680000
04/17/2017,IGGRC10D,,,,6.6680000
04/18/2017,IGGRC10D,,,,6.6850000
04/19/2017,IGGRC10D,,,,6.7090000
04/20/2017,IGGRC10D,,,,6.6830000
04/21/2017,IGGRC10D,,,,6.6710000
04/24/2017,IGGRC10D,,,,6.5180000
04/25/2017,IGGRC10D,,,,6.4300000
04/26/2017,IGGRC10D,,,,6.4310000
04/27/2017,IGGRC10D,,,,6.4110000
04/28/2017,IGGRC10D,,,,6.3890000
05/01/2017,IGGRC10D,,,,6.3430000
05/02/2017,IGGRC10D,,,,6.0660000
05/03/2017,IGGRC10D,,,,5.9990000
05/04/2017,IGGRC10D,,,,6.0090000
05/05/2017,IGGRC10D,,,,5.9460000
05/08/2017,IGGRC10D,,,,5.8330000
05/09/2017,IGGRC10D,,,,5.6770000
05/10/2017,IGGRC10D,,,,5.6490000
05/11/2017,IGGRC10D,,,,5.6430000
05/12/2017,IGGRC10D,,,,5.6630000
05/15/2017,IGGRC10D,,,,5.7080000
05/16/2017,IGGRC10D,,,,5.7110000
05/17/2017,IGGRC10D,,,,5.7500000
05/18/2017,IGGRC10D,,,,5.7290000
05/19/2017,IGGRC10D,,,,5.7350000
05/22/2017,IGGRC10D,,,,5.7350000
05/23/2017,IGGRC10D,,,,5.7800000
05/24/2017,IGGRC10D,,,,5.8980000
05/25/2017,IGGRC10D,,,,6.2230000
05/26/2017,IGGRC10D,,,,5.9910000
05/29/2017,IGGRC10D,,,,5.9970000
05/30/2017,IGGRC10D,,,,5.9780000
05/31/2017,IGGRC10D,,,,6.0790000
06/01/2017,IGGRC10D,,,,6.1250000
06/02/2017,IGGRC10D,,,,6.1040000
06/05/2017,IGGRC10D,,,,6.0670000
06/06/2017,IGGRC10D,,,,6.0350000
06/07/2017,IGGRC10D,,,,6.0590000
06/08/2017,IGGRC10D,,,,6.1060000
06/09/2017,IGGRC10D,,,,6.0380000
06/12/2017,IGGRC10D,,,,5.9730000
06/13/2017,IGGRC10D,,,,5.8770000
06/14/2017,IGGRC10D,,,,5.8270000
06/15/2017,IGGRC10D,,,,5.8670000
06/16/2017,IGGRC10D,,,,5.7310000
06/19/2017,IGGRC10D,,,,5.6860000
06/20/2017,IGGRC10D,,,,5.6420000
06/21/2017,IGGRC10D,,,,5.6380000
06/22/2017,IGGRC10D,,,,5.6160000
06/23/2017,IGGRC10D,,,,5.5660000
06/26/2017,IGGRC10D,,,,5.4220000
06/27/2017,IGGRC10D,,,,5.4660000
06/28/2017,IGGRC10D,,,,5.5010000
06/29/2017,IGGRC10D,,,,5.4790000
06/30/2017,IGGRC10D,,,,5.4460000
07/03/2017,IGGRC10D,,,,5.4940000
07/04/2017,IGGRC10D,,,,5.3620000
07/05/2017,IGGRC10D,,,,5.3190000
07/06/2017,IGGRC10D,,,,5.3920000
07/07/2017,IGGRC10D,,,,5.4130000
07/10/2017,IGGRC10D,,,,5.4050000
07/11/2017,IGGRC10D,,,,5.4000000
07/12/2017,IGGRC10D,,,,5.3870000
07/13/2017,IGGRC10D,,,,5.4390000
07/14/2017,IGGRC10D,,,,5.3570000
07/17/2017,IGGRC10D,,,,5.3140000
07/18/2017,IGGRC10D,,,,5.2620000
07/19/2017,IGGRC10D,,,,5.2650000
07/20/2017,IGGRC10D,,,,5.2830000
07/21/2017,IGGRC10D,,,,5.2690000
07/24/2017,IGGRC10D,,,,5.2740000
07/25/2017,IGGRC10D,,,,5.2750000
07/26/2017,IGGRC10D,,,,5.2930000
07/27/2017,IGGRC10D,,,,5.3150000
07/28/2017,IGGRC10D,,,,5.3470000
07/31/2017,IGGRC10D,,,,5.3920000
08/01/2017,IGGRC10D,,,,5.4290000
08/02/2017,IGGRC10D,,,,5.4860000
08/03/2017,IGGRC10D,,,,5.4870000
08/04/2017,IGGRC10D,,,,5.5080000
08/07/2017,IGGRC10D,,,,5.4560000
08/08/2017,IGGRC10D,,,,5.4550000
08/09/2017,IGGRC10D,,,,5.4900000
08/10/2017,IGGRC10D,,,,5.4990000
08/11/2017,IGGRC10D,,,,5.5470000
08/14/2017,IGGRC10D,,,,5.5640000
08/15/2017,IGGRC10D,,,,5.5720000
08/16/2017,IGGRC10D,,,,5.5720000
08/17/2017,IGGRC10D,,,,5.5900000
08/18/2017,IGGRC10D,,,,5.6210000
08/21/2017,IGGRC10D,,,,5.6270000
08/22/2017,IGGRC10D,,,,5.5970000
08/23/2017,IGGRC10D,,,,5.5750000
08/24/2017,IGGRC10D,,,,5.5430000
08/25/2017,IGGRC10D,,,,5.5620000
08/28/2017,IGGRC10D,,,,5.5830000
08/29/2017,IGGRC10D,,,,5.5810000
08/30/2017,IGGRC10D,,,,5.5830000
08/31/2017,IGGRC10D,,,,5.5860000
09/01/2017,IGGRC10D,,,,5.5450000
09/04/2017,IGGRC10D,,,,5.5540000
09/05/2017,IGGRC10D,,,,5.5240000
09/06/2017,IGGRC10D,,,,5.5000000
09/07/2017,IGGRC10D,,,,5.5180000
09/08/2017,IGGRC10D,,,,5.4790000
09/11/2017,IGGRC10D,,,,5.4720000
09/12/2017,IGGRC10D,,,,5.4600000
09/13/2017,IGGRC10D,,,,5.4820000
09/14/2017,IGGRC10D,,,,5.4750000
09/15/2017,IGGRC10D,,,,5.4590000
09/18/2017,IGGRC10D,,,,5.4600000
09/19/2017,IGGRC10D,,,,5.4940000
09/20/2017,IGGRC10D,,,,5.5420000
09/21/2017,IGGRC10D,,,,5.5760000
09/22/2017,IGGRC10D,,,,5.6090000
09/25/2017,IGGRC10D,,,,5.5870000
09/26/2017,IGGRC10D,,,,5.6130000
09/27/2017,IGGRC10D,,,,5.7410000
09/28/2017,IGGRC10D,,,,5.7360000
09/29/2017,IGGRC10D,,,,5.6740000
10/02/2017,IGGRC10D,,,,5.6100000
10/03/2017,IGGRC10D,,,,5.5760000
10/04/2017,IGGRC10D,,,,5.5860000
10/05/2017,IGGRC10D,,,,5.5950000
10/06/2017,IGGRC10D,,,,5.6150000
10/09/2017,IGGRC10D,,,,5.6170000
10/10/2017,IGGRC10D,,,,5.6100000
10/11/2017,IGGRC10D,,,,5.5890000
10/12/2017,IGGRC10D,,,,5.5720000
10/13/2017,IGGRC10D,,,,5.5660000
10/16/2017,IGGRC10D,,,,5.5460000
10/17/2017,IGGRC10D,,,,5.5150000
10/18/2017,IGGRC10D,,,,5.4850000
10/19/2017,IGGRC10D,,,,5.5450000
10/20/2017,IGGRC10D,,,,5.5780000
10/23/2017,IGGRC10D,,,,5.5820000
10/24/2017,IGGRC10D,,,,5.5980000
10/25/2017,IGGRC10D,,,,5.5570000
10/26/2017,IGGRC10D,,,,5.5790000
10/27/2017,IGGRC10D,,,,5.5640000
10/30/2017,IGGRC10D,,,,5.5900000
10/31/2017,IGGRC10D,,,,5.5850000
11/01/2017,IGGRC10D,,,,5.5010000
11/02/2017,IGGRC10D,,,,5.2990000
11/03/2017,IGGRC10D,,,,5.1070000
11/07/2017,IGGRC10D,,,,5.1290000
11/08/2017,IGGRC10D,,,,5.0740000
11/09/2017,IGGRC10D,,,,5.1460000
11/10/2017,IGGRC10D,,,,5.1930000
11/13/2017,IGGRC10D,,,,5.1340000
11/14/2017,IGGRC10D,,,,5.0890000
11/15/2017,IGGRC10D,,,,5.0910000
11/16/2017,IGGRC10D,,,,5.1800000
11/17/2017,IGGRC10D,,,,5.2330000
11/20/2017,IGGRC10D,,,,5.2470000
11/21/2017,IGGRC10D,,,,5.3110000
11/22/2017,IGGRC10D,,,,5.3640000
11/27/2017,IGGRC10D,,,,5.5090000
11/28/2017,IGGRC10D,,,,5.5200000
11/29/2017,IGGRC10D,,,,5.4010000
11/30/2017,IGGRC10D,,,,5.3790000
12/01/2017,IGGRC10D,,,,5.3830000
12/04/2017,IGGRC10D,,,,5.4100000
12/05/2017,IGGRC10D,,,,4.9440000
12/06/2017,IGGRC10D,,,,4.7750000
12/07/2017,IGGRC10D,,,,4.8210000
12/08/2017,IGGRC10D,,,,4.7390000
12/11/2017,IGGRC10D,,,,4.4980000
12/12/2017,IGGRC10D,,,,4.4540000
12/13/2017,IGGRC10D,,,,4.3390000
12/14/2017,IGGRC10D,,,,4.2190000
12/15/2017,IGGRC10D,,,,4.1130000
12/18/2017,IGGRC10D,,,,3.9030000
12/19/2017,IGGRC10D,,,,3.9380000
12/20/2017,IGGRC10D,,,,4.1320000
12/21/2017,IGGRC10D,,,,4.0960000
12/22/2017,IGGRC10D,,,,4.1360000
12/25/2017,IGGRC10D,,,,4.1050000
12/26/2017,IGGRC10D,,,,4.1050000
12/27/2017,IGGRC10D,,,,4.1170000
12/28/2017,IGGRC10D,,,,4.1350000
12/29/2017,IGGRC10D,,,,4.1190000
01/01/2018,IGGRC10D,,,,4.1190000
01/02/2018,IGGRC10D,,,,4.1250000
01/03/2018,IGGRC10D,,,,4.0790000
01/04/2018,IGGRC10D,,,,3.8430000
01/05/2018,IGGRC10D,,,,3.7660000
01/08/2018,IGGRC10D,,,,3.7680000
01/10/2018,IGGRC10D,,,,3.7110000
01/18/2018,IGGRC10D,,,,3.7570000
01/19/2018,IGGRC10D,,,,3.7970000
01/22/2018,IGGRC10D,,,,3.8510000
01/23/2018,IGGRC10D,,,,3.8010000
01/24/2018,IGGRC10D,,,,3.7200000
01/25/2018,IGGRC10D,,,,3.6920000
01/26/2018,IGGRC10D,,,,3.6840000
01/29/2018,IGGRC10D,,,,3.6530000
01/30/2018,IGGRC10D,,,,3.6580000
01/31/2018,IGGRC10D,,,,3.6820000
02/01/2018,IGGRC10D,,,,3.7570000
02/02/2018,IGGRC10D,,,,3.6930000
02/05/2018,IGGRC10D,,,,3.6820000
02/06/2018,IGGRC10D,,,,3.7770000
02/07/2018,IGGRC10D,,,,3.7210000
02/08/2018,IGGRC10D,,,,3.6840000
02/09/2018,IGGRC10D,,,,3.9070000
02/12/2018,IGGRC10D,,,,4.1480000
02/13/2018,IGGRC10D,,,,4.2740000
02/14/2018,IGGRC10D,,,,4.4350000
02/15/2018,IGGRC10D,,,,4.3510000
02/16/2018,IGGRC10D,,,,4.3870000
02/19/2018,IGGRC10D,,,,4.2390000
02/20/2018,IGGRC10D,,,,4.2930000
02/21/2018,IGGRC10D,,,,4.3650000
02/22/2018,IGGRC10D,,,,4.2960000
02/23/2018,IGGRC10D,,,,4.3800000
