iso3c,date,gain
CAF,1998,32.2160920729426
CAF,1999,32.0991444420265
CAF,2000,31.7884022328582
CAF,2001,32.5297497052987
CAF,2002,32.6663991515961
CAF,2003,32.5791987914325
CAF,2004,31.0394763756983
CAF,2005,30.3581401289431
CAF,2006,28.6596949684989
CAF,2007,28.006184938888
CAF,2008,28.0562661892317
CAF,2009,27.6354056988367
CAF,2010,27.4934662183018
CAF,2011,26.8343438576299
CAF,2012,27.4018925861488
CAF,2013,26.4415179619389
CAF,2014,26.4189115270351
CAF,2015,25.8344440089901
CAF,2016,26.9636965297371
CAF,2017,27.0734277697387
CAF,2018,26.8663548774718
CAF,2019,27.228041342367
CAF,2020,26.866853936969
CAF,2021,26.9887324007188
CAF,2022,27.1577832442664
CAF,2023,26.8697151599534
CAN,1995,66.1399241483887
CAN,1996,66.206615966895
CAN,1997,66.4463737939739
CAN,1998,66.386884358468
CAN,1999,66.7727702109618
CAN,2000,67.0757343356478
CAN,2001,66.963206075634
CAN,2002,66.8545454761414
CAN,2003,66.7272555656866
CAN,2004,67.1888968674942
CAN,2005,68.1473836201471
CAN,2006,70.3735386313644
CAN,2007,70.5078771572299
CAN,2008,70.6697883678967
CAN,2009,70.8389318817843
CAN,2010,70.0767560484498
CAN,2011,70.1693515800989
CAN,2012,69.897957310751
CAN,2013,69.9347988967918
CAN,2014,70.156111859112
CAN,2015,69.9100549138531
CAN,2016,69.6538638493344
CAN,2017,69.2550147936024
CAN,2018,68.7489787252761
CAN,2019,68.4509950689282
CAN,2020,67.8266193919315
CAN,2021,68.3039155368302
CAN,2022,68.4999358682349
CAN,2023,68.5494931300211
CHE,1995,66.4124215056993
CHE,1996,66.4320054743793
CHE,1997,66.7326954027081
CHE,1998,67.0365063523058
CHE,1999,67.3478235356856
CHE,2000,67.5917235379423
CHE,2001,67.7776378989094
CHE,2002,67.9925665050851
CHE,2003,68.0198400690317
CHE,2004,68.0324827746644
CHE,2005,68.7347726704241
CHE,2006,71.2375464481075
CHE,2007,71.9966306282571
CHE,2008,72.0127695249877
CHE,2009,71.5561945495683
CHE,2010,72.3247980074761
CHE,2011,72.0454953283938
CHE,2012,72.2384936546572
CHE,2013,72.6898406488804
CHE,2014,73.0579006486609
CHE,2015,72.9708817024125
CHE,2016,71.6979255018489
CHE,2017,72.4871018136817
CHE,2018,72.4483327117232
CHE,2019,72.4964086719129
CHE,2020,72.8099004398581
CHE,2021,72.5033200183523
CHE,2022,72.8148341890288
CHE,2023,72.893947633591
CHL,1995,54.3496149631155
CHL,1996,54.3558823822856
CHL,1997,54.0864283941853
CHL,1998,53.8239732318595
CHL,1999,54.4149707313993
CHL,2000,55.1730158569522
CHL,2001,55.2896673605512
CHL,2002,55.5139856270158
CHL,2003,54.3980297436916
CHL,2004,55.2005991340508
CHL,2005,56.1965544608868
CHL,2006,57.124589129198
CHL,2007,57.5400314413149
CHL,2008,57.6957454133589
CHL,2009,57.5170233155633
CHL,2010,58.4086611263326
CHL,2011,59.011041762593
CHL,2012,60.2207620457575
CHL,2013,60.494023820155
CHL,2014,61.4094944920064
CHL,2015,60.5612207172751
CHL,2016,59.4243029323081
CHL,2017,59.3256928928539
CHL,2018,59.5719855779945
CHL,2019,59.6899884044304
CHL,2020,60.1404265917762
CHL,2021,59.813567293437
CHL,2022,60.0362214858948
CHL,2023,60.0594132253809
CHN,1995,46.4641315423993
CHN,1996,46.6551848330144
CHN,1997,46.5872898162219
CHN,1998,46.4806542831833
CHN,1999,46.7870384203924
CHN,2000,47.2043163166022
CHN,2001,46.6781613456322
CHN,2002,46.2396715402466
CHN,2003,46.4956374464347
CHN,2004,46.1843071357281
CHN,2005,47.5096190307254
CHN,2006,51.9882396353698
CHN,2007,52.4867433279787
CHN,2008,53.6949806372906
CHN,2009,54.5150214221924
CHN,2010,56.5007072505874
CHN,2011,56.9206445038063
CHN,2012,57.4579328822538
CHN,2013,58.1600672887841
CHN,2014,50.9221017460255
CHN,2015,51.7581124519274
CHN,2016,51.8145163574976
CHN,2017,51.9524192039002
CHN,2018,52.3092058898266
CHN,2019,55.6713966612949
CHN,2020,57.1773753317043
CHN,2021,57.8492898352728
CHN,2022,58.0501191796673
CHN,2023,58.1021899611064
CIV,1995,39.734571768495
CIV,1996,39.7653403755413
CIV,1997,39.2153998351933
CIV,1998,38.5653507704949
CIV,1999,37.8349987791402
CIV,2000,37.2496919938767
CIV,2001,37.1740244950994
CIV,2002,37.1443934949763
CIV,2003,36.3026333942249
CIV,2004,35.6023908659626
CIV,2005,34.9149921195331
CIV,2006,32.6935377616613
CIV,2007,33.4548602441387
CIV,2008,33.3179144197636
CIV,2009,33.3375177928913
CIV,2010,32.7289600198141
CIV,2011,32.9469553210358
CIV,2012,33.6906784872339
CIV,2013,34.8210081861511
CIV,2014,37.0758371064087
CIV,2015,37.9821590248294
CIV,2016,38.4000412202319
CIV,2017,38.5770379660823
CIV,2018,38.8559627040198
CIV,2019,39.2436319288993
CIV,2020,39.4274770236655
CIV,2021,39.94057646317
CIV,2022,40.0737293022029
CIV,2023,40.2542996082619
CMR,1995,35.9329984030318
CMR,1996,36.0400522079623
CMR,1997,36.0480515544592
CMR,1998,36.1083486102794
CMR,1999,36.0057874191685
CMR,2000,35.9318925479501
CMR,2001,36.3865188088815
CMR,2002,36.5557568025897
CMR,2003,37.6021317714586
CMR,2004,37.1112896055216
CMR,2005,36.2668590534002
CMR,2006,35.4381075284281
CMR,2007,35.5511820794406
CMR,2008,35.4550345308417
CMR,2009,35.3165740906016
CMR,2010,35.2036711579585
CMR,2011,35.0372920521517
CMR,2012,35.2627378366114
CMR,2013,35.5310941416062
CMR,2014,35.9519609174801
CMR,2015,36.2039112745726
CMR,2016,36.5140950463317
