iso3c,year,y_res,gain_t,gain_lag1,gain_lag2
PRT,2011,2.990151542566572,59.2122050443616,58.5759839603542,58.0373539564489
ROU,2011,0.4696756256334056,49.6948134918629,50.2565630106483,51.3983089309153
RUS,2011,-0.7637238018479273,60.3727179693895,60.3573092279768,58.373126830107
SGP,2011,-0.09700183709775734,69.194167561361,68.7703874997619,67.4036579472901
SVK,2011,1.0572711209891479,54.6610596899872,54.7147795024272,54.9184672643171
SVN,2011,1.7382662726202678,64.2502585843449,63.6942777596627,62.693448734638
SWE,2011,0.034735982215804234,72.4294658762289,72.4971626348265,71.6796679072173
THA,2011,0.6072666008923711,47.840772593748,47.9970321523653,47.6210869158774
TUR,2011,0.01789269149516226,50.9915742436529,50.6770660008151,
VNM,2011,0.39429432450493707,41.7527097728595,41.356055137041,42.1312494053508
ZAF,2011,0.6025145316407663,45.5368295938163,45.7148323056849,46.4347315847622
ZMB,2011,-1.0033250717768194,38.3622341253679,37.6257592387673,38.0856657696961
ARG,2012,-3.4405142758619913,45.8440545973499,46.2990033990143,
AUS,2012,-0.38840689820736474,69.292570436299,69.3554899201878,69.2790637564839
AUT,2012,0.40225452478017,68.1252630035586,68.0736091530137,68.4361207590759
BEL,2012,0.31972590484119545,62.6208211790861,62.076581175898,61.6709973806964
BGD,2012,3.2350309764805605,44.5001904681286,43.0378861754632,43.094571627811
BGR,2012,0.6376852654268923,52.1167427621843,51.8192005274787,51.333959184002
BRA,2012,-0.46983080097524876,51.7205956061326,52.3642685080462,51.7594874626458
BWA,2012,1.100922375684788,46.9775856114489,46.5999424091463,46.5085467764356
CAN,2012,0.22246755338110566,69.897957310751,70.1693515800989,70.0767560484498
CHE,2012,0.3982481350796303,72.2384936546572,72.0454953283938,72.3247980074761
CHN,2012,0.2568720613787685,57.4579328822538,56.9206445038063,56.5007072505874
COL,2012,-4.169742009693277,45.1678742425547,43.5649648952426,42.938620837181
CYP,2012,3.2297879294919554,56.945814949525,55.4563531456024,55.9218995399674
CZE,2012,0.4635415544298773,60.6722329259043,60.5458637107242,60.2123679583084
DEU,2012,0.2010603887709501,70.3520765937773,70.0069274055526,70.2095677824154
DNK,2012,-0.10810638789654925,74.0291333456952,73.5959556234573,73.0313119733704
ESP,2012,2.155448545468264,61.5223307659896,61.0779324331338,60.8758647741173
FIN,2012,0.0015252319002567044,75.3132621750648,74.6891220963358,74.5757914644322
FRA,2012,0.4951547666198913,67.8427385045641,67.982328238166,67.743962009878
GBR,2012,-0.20924353625993247,70.0260497938114,69.8999589488052,69.9507654539286
GRC,2012,11.86009920204895,54.0820614600343,54.53158985808,54.9512735385959
HRV,2012,2.3292102293872357,52.1270623497936,52.11880407179,52.0927063097912
HUN,2012,1.8516316344498165,56.2667577220418,56.1667327086734,55.5957232474907
IDN,2012,-0.36008706587706385,48.2834808816239,47.7688619259148,47.5589167916601
IND,2012,0.8819822467686462,46.7763978703442,46.4927712646829,46.5091573043895
IRL,2012,-1.0977590610901808,62.6922641605872,63.5784798582946,63.9796118917882
ISL,2012,0.9639254345389805,70.1270993832033,71.1595178924912,71.4606702492557
ITA,2012,2.0251296325679244,55.1480969503801,56.0311579482385,56.0538027641747
JPN,2012,0.9262784933612833,69.4147397501226,69.0982656996495,69.2181193442222
KEN,2012,1.529665634300823,33.5350798978583,34.0133843394997,34.1778333054429
KOR,2012,0.3964443890244449,65.3259331518401,65.0208414136274,64.7572789768886
LTU,2012,1.0635387721715084,57.1684663906218,56.651937796166,56.8476303183987
LUX,2012,0.119727998087051,69.263763958183,68.335502177084,67.6752755829204
LVA,2012,0.5967711135127813,56.9399163300324,55.8607909656081,55.7294547805346
MEX,2012,0.3122911309465186,54.3064875782819,54.0847782382154,54.0524093186053
MLT,2012,1.1243910341075094,57.8145684422777,62.3437942027139,62.4576292121341
MYS,2012,0.4473180697848629,53.4818534394662,51.3137231451821,51.2566235767656
NAM,2012,0.386695204133928,42.8351966304812,42.2166216571255,41.9111428562574
NGA,2012,2.994652496791062,44.3464653123276,44.0111091350177,44.8882291379277
NLD,2012,0.12205633236964734,68.1601118332124,68.3936292333294,67.9544509856229
NOR,2012,0.17082489377649468,76.4976500053383,76.1777991473141,76.1317311813398
NZL,2012,-0.11457652608455593,74.8234783637268,74.6051972976444,74.6991713439473
PAK,2012,0.7111662980764439,44.901657683168,44.2257719398692,44.1603407874438
PER,2012,0.1460960048622253,45.9604532269754,46.1123932796579,45.585711352944
PHL,2012,0.19956904024989575,40.4228942760114,39.6783291827089,38.9141222085519
POL,2012,0.6102548357198869,58.9991984944566,58.1756377993473,57.3715417238753
PRT,2012,3.87468950130674,59.7633102914454,59.2122050443616,58.5759839603542
ROU,2012,0.6369055795980509,48.5082848300107,49.6948134918629,50.2565630106483
RUS,2012,-0.0835973341599976,60.9500856932995,60.3727179693895,60.3573092279768
SGP,2012,0.08153128917686597,69.3634894014146,69.194167561361,68.7703874997619
SVK,2012,1.1168342592754483,53.898715499535,54.6610596899872,54.7147795024272
SVN,2012,2.7182004652366434,64.1505859143831,64.2502585843449,63.6942777596627
SWE,2012,-0.04749970092630826,72.7761556285392,72.4294658762289,72.4971626348265
THA,2012,1.1154494036217488,47.9571374894321,47.840772593748,47.9970321523653
TUR,2012,0.10693701361026342,51.9348312713256,50.9915742436529,50.6770660008151
VNM,2012,-0.3911149067879318,42.1402447115063,41.7527097728595,41.356055137041
ZAF,2012,0.5231074528623285,45.2921524321444,45.5368295938163,45.7148323056849
ZMB,2012,1.2978531549069903,38.8793229210586,38.3622341253679,37.6257592387673
ARG,2013,-1.751288906569095,45.5120610080099,45.8440545973499,46.2990033990143
AUS,2013,0.03520193006787631,69.2487818133458,69.292570436299,69.3554899201878
AUT,2013,-0.7788781966674313,69.1420909725543,68.1252630035586,68.0736091530137
BEL,2013,-0.8644027487785625,63.0380666492764,62.6208211790861,62.076581175898
BGD,2013,-0.07917035670222816,44.5462997450783,44.5001904681286,43.0378861754632
BGR,2013,-1.621636399808717,52.4488771844555,52.1167427621843,51.8192005274787
BRA,2013,0.046145460881174216,51.838477704925,51.7205956061326,52.3642685080462
BWA,2013,-1.0545263989703475,47.1123253194728,46.9775856114489,46.5999424091463
CAN,2013,-0.02221278331636864,69.9347988967918,69.897957310751,70.1693515800989
CHE,2013,-0.047763425261038384,72.6898406488804,72.2384936546572,72.0454953283938
CHN,2013,-0.2875004794374356,58.1600672887841,57.4579328822538,56.9206445038063
CIV,2013,-1.8345960701505164,34.8210081861511,33.6906784872339,
COL,2013,-0.3535148617642605,45.167633555522,45.1678742425547,43.5649648952426
CYP,2013,-0.13938720202351718,57.3027074947098,56.945814949525,55.4563531456024
CZE,2013,-1.3146305759773318,61.3226548711927,60.6722329259043,60.5458637107242
DEU,2013,-0.20456030316756857,70.6268199144864,70.3520765937773,70.0069274055526
DNK,2013,-0.41464713540576603,74.1245083441789,74.0291333456952,73.5959556234573
EGY,2013,0.7099169964350569,44.1337805861058,44.0546016648168,
ESP,2013,-1.3863944078455868,60.8850204845965,61.5223307659896,61.0779324331338
FIN,2013,-0.5497883786514696,75.2760567927729,75.3132621750648,74.6891220963358
FRA,2013,-0.70621556644138,67.282023522172,67.8427385045641,67.982328238166
GBR,2013,-0.10123613778840881,70.3595684845916,70.0260497938114,69.8999589488052
GRC,2013,-11.12772390666322,55.243796614294,54.0820614600343,54.53158985808
HRV,2013,-1.9252572527846894,52.8600752624064,52.1270623497936,52.11880407179
HUN,2013,-1.168228223913732,56.1590081670783,56.2667577220418,56.1667327086734
IDN,2013,0.2648551818076079,48.6220239471262,48.2834808816239,47.7688619259148
IND,2013,-1.0461210262217788,47.0828170129258,46.7763978703442,46.4927712646829
IRL,2013,-2.4629583197974503,64.1086741610711,62.6922641605872,63.5784798582946
ISL,2013,-0.4366477184704962,70.2438263244028,70.1270993832033,71.1595178924912
ISR,2013,-1.4942611155634227,61.1096666597581,61.0993437283113,
ITA,2013,-1.3974067235819758,54.8486447834228,55.1480969503801,56.0311579482385
JPN,2013,-0.40243577973264033,69.7872389275771,69.4147397501226,69.0982656996495
KEN,2013,-1.337933342624245,34.09202005799,33.5350798978583,34.0133843394997
KOR,2013,-0.38031608120056914,66.1276782510062,65.3259331518401,65.0208414136274
LTU,2013,-1.1661901652439346,57.6444712294698,57.1684663906218,56.651937796166
LUX,2013,-0.5750274852297685,69.5866015706854,69.263763958183,68.335502177084
LVA,2013,-1.3322258482936504,57.8767585666726,56.9399163300324,55.8607909656081
MEX,2013,-0.8813301925626726,54.1450096961865,54.3064875782819,54.0847782382154
MLT,2013,-0.599825355550134,58.1192193614702,57.8145684422777,62.3437942027139
MYS,2013,-0.1338071309306097,54.581781661357,53.4818534394662,51.3137231451821
NAM,2013,-0.46000575609417194,42.9010492710423,42.8351966304812,42.2166216571255
NGA,2013,-2.2648908799086307,44.4317506646512,44.3464653123276,44.0111091350177
NLD,2013,-0.4379342971235642,68.3196633633377,68.1601118332124,68.3936292333294
NOR,2013,0.13423411923597672,77.6411469704572,76.4976500053383,76.1777991473141
NZL,2013,0.005614080998187498,74.9971926392299,74.8234783637268,74.6051972976444
PAK,2013,-0.3470563772804365,45.545924444276,44.901657683168,44.2257719398692
PER,2013,-0.6879559924096572,46.1839854283188,45.9604532269754,46.1123932796579
PHL,2013,-1.8457700915879032,41.4070490034735,40.4228942760114,39.6783291827089
POL,2013,-1.2729507551078019,59.9624788761112,58.9991984944566,58.1756377993473
PRT,2013,-3.4951721068264057,60.2428043562749,59.7633102914454,59.2122050443616
