Country,Total_Observations,sovereign_yield_missing,sovereign_yield_missing_pct,sovereign_spread_missing,sovereign_spread_missing_pct,cpi_yoy_missing,cpi_yoy_missing_pct,gdp_annual_growth_rate_missing,gdp_annual_growth_rate_missing_pct,gdp_per_capita_missing,gdp_per_capita_missing_pct,debt_to_gdp_missing,debt_to_gdp_missing_pct,deficit_to_gdp_missing,deficit_to_gdp_missing_pct,current_account_balance_missing,current_account_balance_missing_pct,NEER_missing,NEER_missing_pct,vulnerability_missing,vulnerability_missing_pct,wgi_cc_missing,wgi_cc_missing_pct,wgi_ge_missing,wgi_ge_missing_pct,wgi_pv_missing,wgi_pv_missing_pct,wgi_rl_missing,wgi_rl_missing_pct,wgi_rq_missing,wgi_rq_missing_pct,wgi_va_missing,wgi_va_missing_pct,Rating_Fitch_missing,Rating_Fitch_missing_pct,Outlook_Fitch_missing,Outlook_Fitch_missing_pct,Rating_S&P_missing,Rating_S&P_missing_pct,Outlook_S&P_missing,Outlook_S&P_missing_pct,Rating_DBRS_missing,Rating_DBRS_missing_pct,Outlook_DBRS_missing,Outlook_DBRS_missing_pct,Rating_Moody's_missing,Rating_Moody's_missing_pct,Outlook_Moody's_missing,Outlook_Moody's_missing_pct,overall_completeness
NAM,864,66,7.6,66,7.6,864,100.0,270,31.2,0,0.0,72,8.3,0,0.0,0,0.0,84,9.7,168,19.4,264,30.6,264,30.6,264,30.6,264,30.6,264,30.6,264,30.6,864,100.0,864,100.0,864,100.0,864,100.0,864,100.0,864,100.0,864,100.0,864,100.0,51.35833333333333
NGA,986,562,57.0,562,57.0,528,53.5,642,65.1,120,12.2,120,12.2,120,12.2,120,12.2,204,20.7,288,29.2,384,38.9,384,38.9,384,38.9,384,38.9,384,38.9,384,38.9,504,51.1,504,51.1,506,51.3,506,51.3,986,100.0,986,100.0,668,67.7,668,67.7,53.962500000000006
NLD,924,10,1.1,10,1.1,132,14.3,120,13.0,120,13.0,120,13.0,120,13.0,120,13.0,168,18.2,228,24.7,324,35.1,324,35.1,324,35.1,324,35.1,324,35.1,324,35.1,175,18.9,316,34.2,120,13.0,120,13.0,572,61.9,572,61.9,72,7.8,72,7.8,76.9375
NOR,984,10,1.0,10,1.0,132,13.4,18,1.8,120,12.2,120,12.2,120,12.2,120,12.2,204,20.7,288,29.3,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,244,24.8,376,38.2,113,11.5,113,11.5,652,66.3,652,66.3,90,9.1,90,9.1,75.55
NZL,984,10,1.0,10,1.0,132,13.4,105,10.7,120,12.2,120,12.2,120,12.2,120,12.2,204,20.7,288,29.3,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,984,100.0,984,100.0,984,100.0,984,100.0,984,100.0,984,100.0,984,100.0,984,100.0,51.7125
PAK,936,45,4.8,45,4.8,936,100.0,729,77.9,132,14.1,180,19.2,120,12.8,120,12.8,162,17.3,240,25.6,336,35.9,336,35.9,336,35.9,336,35.9,336,35.9,336,35.9,936,100.0,936,100.0,936,100.0,936,100.0,936,100.0,936,100.0,936,100.0,936,100.0,45.63750000000001
PER,864,378,43.8,378,43.8,522,60.4,18,2.1,120,13.9,240,27.8,120,13.9,120,13.9,168,19.4,228,26.4,288,33.3,288,33.3,288,33.3,288,33.3,288,33.3,288,33.3,237,27.4,256,29.6,215,24.9,215,24.9,426,49.3,426,49.3,193,22.3,193,22.3,70.2
PHL,984,320,32.5,320,32.5,642,65.2,36,3.7,120,12.2,192,19.5,120,12.2,120,12.2,204,20.7,288,29.3,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,348,35.4,376,38.2,204,20.7,204,20.7,984,100.0,984,100.0,204,20.7,204,20.7,65.4
POL,924,318,34.4,318,34.4,138,14.9,198,21.4,120,13.0,180,19.5,120,13.0,120,13.0,168,18.2,228,24.7,324,35.1,324,35.1,324,35.1,324,35.1,324,35.1,324,35.1,198,21.4,210,22.7,190,20.6,190,20.6,682,73.8,682,73.8,190,20.6,190,20.6,71.2
PRT,990,12,1.2,12,1.2,132,13.3,276,27.9,120,12.1,120,12.1,120,12.1,120,12.1,204,20.6,288,29.1,384,38.8,384,38.8,384,38.8,384,38.8,384,38.8,384,38.8,230,23.2,376,38.0,105,10.6,113,11.4,622,62.8,622,62.8,82,8.3,82,8.3,75.00416666666668
