date,yield,iso3
1988-03-01,6.20695652173913,DEU
1988-04-01,6.272105263157894,DEU
1988-05-01,6.5685,DEU
1988-06-01,6.609545454545454,DEU
1988-07-01,6.762380952380952,DEU
1988-08-01,6.8326086956521745,DEU
1988-09-01,6.630909090909091,DEU
1988-10-01,6.420476190476191,DEU
1988-11-01,6.348636363636363,DEU
1988-12-01,6.504761904761905,DEU
1989-01-01,6.635,DEU
1989-02-01,6.8205,DEU
1989-03-01,6.930952380952381,DEU
1989-04-01,6.8725,DEU
1989-05-01,6.957142857142857,DEU
1989-06-01,6.773636363636364,DEU
1989-07-01,6.661904761904762,DEU
1989-08-01,6.699565217391305,DEU
1989-09-01,6.90095238095238,DEU
1989-10-01,7.001363636363636,DEU
1989-11-01,7.293636363636364,DEU
1989-12-01,7.187368421052632,DEU
1990-01-01,7.58909090909091,DEU
1990-02-01,8.419,DEU
1990-03-01,8.739545454545455,DEU
1990-04-01,8.646842105263158,DEU
1990-05-01,8.650454545454545,DEU
1990-06-01,8.7825,DEU
1990-07-01,8.541363636363636,DEU
1990-08-01,8.885652173913044,DEU
1990-09-01,9.0155,DEU
1990-10-01,9.00608695652174,DEU
1990-11-01,8.918636363636365,DEU
1990-12-01,8.803333333333335,DEU
1991-01-01,8.868636363636364,DEU
1991-02-01,8.370000000000001,DEU
1991-03-01,8.4205,DEU
1991-04-01,8.368571428571428,DEU
1991-05-01,8.364285714285714,DEU
1991-06-01,8.349,DEU
1991-07-01,8.598260869565218,DEU
1991-08-01,8.536818181818182,DEU
1991-09-01,8.426666666666668,DEU
1991-10-01,8.323478260869566,DEU
1991-11-01,8.3,DEU
1991-12-01,8.200000000000001,DEU
1992-01-01,7.915,DEU
1992-02-01,7.8950000000000005,DEU
1992-03-01,7.947272727272727,DEU
1992-04-01,7.947,DEU
1992-05-01,7.964499999999999,DEU
1992-06-01,7.977142857142858,DEU
1992-07-01,8.021304347826087,DEU
1992-08-01,7.977619047619048,DEU
1992-09-01,7.635454545454545,DEU
1992-10-01,7.354090909090909,DEU
1992-11-01,7.319047619047619,DEU
1992-12-01,7.307142857142857,DEU
1993-01-01,7.092499999999999,DEU
1993-02-01,6.929,DEU
1993-03-01,6.600434782608696,DEU
1993-04-01,6.648000000000001,DEU
1993-05-01,6.807894736842105,DEU
1993-06-01,6.784090909090909,DEU
1993-07-01,6.612727272727272,DEU
1993-08-01,6.391818181818182,DEU
1993-09-01,6.123636363636364,DEU
1993-10-01,5.93,DEU
