date,iso3c,year,yield_with_spread,sovereign_spread,cpi_yoy,gdp_annual_growth_rate,gdp_per_capita,gross gdp,debt_to_gdp,deficit_to_gdp,current_account_balance,vulnerability,wgi_cc,wgi_ge,wgi_pv,wgi_rl,wgi_rq,wgi_va,GAIN
2018-01-01,CHL,2018,,,2.4335811688846993,3.975,15755.003000000002,295.428,25.798,7876.945500000001,-4.49,0.33365948520207506,0.9582024812698364,0.9071784615516664,0.4127697646617889,0.9402605295181274,1.3004523515701294,1.0259408950805664,9.50106927954855
2019-01-01,CHL,2019,3.5698962125091156,1.4257967308504236,2.5563321706168254,0.6999999999999998,14551.577,278.04,28.33,7274.5985,-5.217,0.332626090125988,0.97893089056015,0.8634986281394958,-0.0161215793341398,0.924216628074646,1.158493161201477,0.9814856052398682,9.50176844019137
2020-01-01,CHL,2020,2.8541709387104124,1.959502240449609,3.0483047888716492,-6.1499999999999995,13056.638,254.06000000000003,32.38,6525.0315,-1.949,0.333157100552715,1.1061371564865112,0.705044686794281,0.0440445058047771,0.9301621317863464,0.9486477375030518,0.99194073677063,10.0520015581693
2021-01-01,CHL,2021,4.507149170274171,3.0647805874204614,4.515199525161591,11.65,16028.325000000003,315.411,36.448,8010.711,-7.279,0.333731088512827,0.9562668800354004,0.5902940630912781,0.1614271849393844,0.8898906707763672,0.936240255832672,0.9574224352836608,8.28825293042216
2022-01-01,CHL,2022,6.307985849697807,3.3560667357898475,11.613465872506133,2.3,15193.738,301.27,37.907,7597.789,-8.849,0.332513665146997,0.9681240320205688,0.5462182760238647,0.1320843249559402,0.6884544491767883,0.9784111380577089,0.9767693877220154,7.82082644270563
2023-01-01,CHL,2023,5.636665790381752,1.6798200487219364,7.6821609512685844,0.525,16814.208,335.627,39.415,8406.1475,-3.128,0.332236492332546,0.968603789806366,0.7175557613372803,0.1361599415540695,0.6250937581062317,0.9257317185401917,1.0179492235183716,7.12051334513394
2024-01-01,CHL,2024,5.71362436784112,1.5064210280522536,4.295737648677189,2.625,16439.479,330.21,41.981,8218.751,-1.469,,,,,,,,
2025-01-01,CHL,2025,5.78108692185008,1.3755249812843802,4.603229739861161,2.3,17015.08,343.82300000000004,42.984,8506.9955,-2.062,,,,,,,,
1989-01-01,CHN,1989,,,,4.1,,,,,,,,,,,,,
1990-01-01,CHN,1990,,,,3.7999999999999994,347.545,397.359,,173.5295,,,,,,,,,
