iso3,Date,gdp_per_capita
ARG,2010-09-01,10412.974
ARG,2010-10-01,10412.974
ARG,2010-11-01,10412.974
ARG,2010-12-01,10412.974
ARG,2011-01-01,12787.806
ARG,2011-02-01,12787.806
ARG,2011-03-01,12787.806
ARG,2011-04-01,12787.806
ARG,2011-05-01,12787.806
ARG,2011-06-01,12787.806
ARG,2011-07-01,12787.806
ARG,2011-08-01,12787.806
ARG,2011-09-01,12787.806
ARG,2011-10-01,12787.806
ARG,2011-11-01,12787.806
ARG,2011-12-01,12787.806
ARG,2012-01-01,13889.792
ARG,2012-02-01,13889.792
ARG,2012-03-01,13889.792
ARG,2012-04-01,13889.792
ARG,2012-05-01,13889.792
ARG,2012-06-01,13889.792
ARG,2012-07-01,13889.792
ARG,2012-08-01,13889.792
ARG,2012-09-01,13889.792
ARG,2012-10-01,13889.792
ARG,2012-11-01,13889.792
ARG,2012-12-01,13889.792
ARG,2013-01-01,14488.829
ARG,2013-02-01,14488.829
ARG,2013-03-01,14488.829
ARG,2013-04-01,14488.829
ARG,2013-05-01,14488.829
ARG,2013-06-01,14488.829
ARG,2013-07-01,14488.829
ARG,2013-08-01,14488.829
ARG,2013-09-01,14488.829
ARG,2013-10-01,14488.829
ARG,2013-11-01,14488.829
ARG,2013-12-01,14488.829
ARG,2014-01-01,13208.831
ARG,2014-02-01,13208.831
ARG,2014-03-01,13208.831
ARG,2014-04-01,13208.831
ARG,2014-05-01,13208.831
ARG,2014-06-01,13208.831
ARG,2014-07-01,13208.831
ARG,2014-08-01,13208.831
ARG,2014-09-01,13208.831
ARG,2014-10-01,13208.831
ARG,2014-11-01,13208.831
ARG,2014-12-01,13208.831
ARG,2015-01-01,14895.316
ARG,2015-02-01,14895.316
ARG,2015-03-01,14895.316
ARG,2015-04-01,14895.316
ARG,2015-05-01,14895.316
ARG,2015-06-01,14895.316
ARG,2015-07-01,14895.316
ARG,2015-08-01,14895.316
ARG,2015-09-01,14895.316
ARG,2015-10-01,14895.316
ARG,2015-11-01,14895.316
ARG,2015-12-01,14895.316
ARG,2016-01-01,12772.868
ARG,2016-02-01,12772.868
ARG,2016-03-01,12772.868
ARG,2016-04-01,12772.868
ARG,2016-05-01,12772.868
ARG,2016-06-01,12772.868
ARG,2016-07-01,12772.868
ARG,2016-08-01,12772.868
ARG,2016-09-01,12772.868
ARG,2016-10-01,12772.868
ARG,2016-11-01,12772.868
ARG,2016-12-01,12772.868
ARG,2017-01-01,14618.327
ARG,2017-02-01,14618.327
ARG,2017-03-01,14618.327
ARG,2017-04-01,14618.327
ARG,2017-05-01,14618.327
ARG,2017-06-01,14618.327
ARG,2017-07-01,14618.327
ARG,2017-08-01,14618.327
ARG,2017-09-01,14618.327
ARG,2017-10-01,14618.327
ARG,2017-11-01,14618.327
ARG,2017-12-01,14618.327
ARG,2018-01-01,11786.433
ARG,2018-02-01,11786.433
ARG,2018-03-01,11786.433
ARG,2018-04-01,11786.433
ARG,2018-05-01,11786.433
ARG,2018-06-01,11786.433
ARG,2018-07-01,11786.433
ARG,2018-08-01,11786.433
ARG,2018-09-01,11786.433
ARG,2018-10-01,11786.433
ARG,2018-11-01,11786.433
ARG,2018-12-01,11786.433
ARG,2019-01-01,9941.59
ARG,2019-02-01,9941.59
ARG,2019-03-01,9941.59
ARG,2019-04-01,9941.59
ARG,2019-05-01,9941.59
ARG,2019-06-01,9941.59
ARG,2019-07-01,9941.59
ARG,2019-08-01,9941.59
ARG,2019-09-01,9941.59
ARG,2019-10-01,9941.59
ARG,2019-11-01,9941.59
ARG,2019-12-01,9941.59
ARG,2020-01-01,8489.332
ARG,2020-02-01,8489.332
ARG,2020-03-01,8489.332
ARG,2020-04-01,8489.332
ARG,2020-05-01,8489.332
ARG,2020-06-01,8489.332
ARG,2020-07-01,8489.332
ARG,2020-08-01,8489.332
ARG,2020-09-01,8489.332
ARG,2020-10-01,8489.332
ARG,2020-11-01,8489.332
ARG,2020-12-01,8489.332
ARG,2021-01-01,10610.191
ARG,2021-02-01,10610.191
ARG,2021-03-01,10610.191
ARG,2021-04-01,10610.191
ARG,2021-05-01,10610.191
ARG,2021-06-01,10610.191
ARG,2021-07-01,10610.191
ARG,2021-08-01,10610.191
ARG,2021-09-01,10610.191
ARG,2021-10-01,10610.191
ARG,2021-11-01,10610.191
ARG,2021-12-01,10610.191
ARG,2022-01-01,13676.216
ARG,2022-02-01,13676.216
ARG,2022-03-01,13676.216
ARG,2022-04-01,13676.216
ARG,2022-05-01,13676.216
ARG,2022-06-01,13676.216
ARG,2022-07-01,13676.216
ARG,2022-08-01,13676.216
ARG,2022-09-01,13676.216
ARG,2022-10-01,13676.216
ARG,2022-11-01,13676.216
ARG,2022-12-01,13676.216
ARG,2023-01-01,13835.967
ARG,2023-02-01,13835.967
ARG,2023-03-01,13835.967
ARG,2023-04-01,13835.967
ARG,2023-05-01,13835.967
ARG,2023-06-01,13835.967
ARG,2023-07-01,13835.967
ARG,2023-08-01,13835.967
ARG,2023-09-01,13835.967
ARG,2023-10-01,13835.967
ARG,2023-11-01,13835.967
