iso3,Date,NEER
ARM,2020-10-01,87.44
ARM,2020-11-01,85.52
ARM,2020-12-01,80.53
ARM,2021-01-01,79.93
ARM,2021-02-01,79.71
ARM,2021-03-01,80.26
ARM,2021-04-01,80.61
ARM,2021-05-01,80.36
ARM,2021-06-01,81.97
ARM,2021-07-01,86.93
ARM,2021-08-01,86.89
ARM,2021-09-01,87.5
ARM,2021-10-01,89.99
ARM,2021-11-01,91.76
ARM,2021-12-01,91.99
ARM,2022-01-01,92.64
ARM,2022-02-01,93.15
ARM,2022-03-01,94.64
ARM,2022-04-01,98.27
ARM,2022-05-01,101.68
ARM,2022-06-01,109.34
ARM,2022-07-01,115.37
ARM,2022-08-01,117.45
ARM,2022-09-01,118.86
ARM,2022-10-01,122.16
ARM,2022-11-01,121.44
ARM,2022-12-01,119.65
ARM,2023-01-01,118.47
ARM,2023-02-01,120.23
ARM,2023-03-01,122.57
ARM,2023-04-01,121.76
ARM,2023-05-01,122.73
ARM,2023-06-01,124.32
ARM,2023-07-01,124.38
ARM,2023-08-01,126.62
ARM,2023-09-01,128.35
ARM,2023-10-01,123.99
ARM,2023-11-01,122.21
ARM,2023-12-01,120.92
ARM,2024-01-01,120.95
ARM,2024-02-01,122.41
ARM,2024-03-01,123.44
ARM,2024-04-01,127.95
ARM,2024-05-01,128.15
ARM,2024-06-01,128.19
ARM,2024-07-01,127.69
ARM,2024-08-01,126.61
ARM,2024-09-01,126.25
ARM,2024-10-01,128.51
ARM,2024-11-01,130.71
ARM,2024-12-01,129.66
ARM,2025-01-01,130.34
ARM,2025-02-01,129.28
ARM,2025-03-01,126.91
ARM,2025-04-01,124.74
ARM,2025-05-01,124.9
ARM,2025-06-01,123.89
AUS,1993-01-01,69.56
AUS,1993-02-01,70.96
AUS,1993-03-01,73.64
AUS,1993-04-01,73.01
AUS,1993-05-01,71.7
AUS,1993-06-01,70.14
AUS,1993-07-01,71.24
AUS,1993-08-01,71.34
AUS,1993-09-01,68.23
AUS,1993-10-01,69.92
AUS,1993-11-01,71.98
AUS,1993-12-01,72.36
AUS,1994-01-01,77.53
AUS,1994-02-01,79.55
AUS,1994-03-01,78.87
AUS,1994-04-01,79.67
AUS,1994-05-01,80.18
AUS,1994-06-01,80.84
AUS,1994-07-01,79.88
AUS,1994-08-01,80.51
AUS,1994-09-01,80.14
AUS,1994-10-01,79.24
AUS,1994-11-01,81.18
AUS,1994-12-01,84.2
AUS,1995-01-01,83.08
AUS,1995-02-01,80.56
AUS,1995-03-01,77.92
AUS,1995-04-01,76.49
AUS,1995-05-01,75.91
AUS,1995-06-01,74.86
AUS,1995-07-01,75.74
AUS,1995-08-01,78.91
AUS,1995-09-01,81.41
AUS,1995-10-01,81.28
AUS,1995-11-01,80.29
AUS,1995-12-01,80.25
AUS,1996-01-01,81.0
AUS,1996-02-01,82.5
AUS,1996-03-01,84.34
AUS,1996-04-01,86.51
AUS,1996-05-01,87.9
AUS,1996-06-01,87.55
AUS,1996-07-01,87.06
AUS,1996-08-01,86.04
AUS,1996-09-01,87.57
AUS,1996-10-01,87.91
AUS,1996-11-01,87.97
AUS,1996-12-01,88.98
AUS,1997-01-01,88.09
AUS,1997-02-01,88.46
