iso3,GAIN,date
BEN,-5.9150540798716,1999-01-01
BEN,-6.00138765421588,2000-01-01
BEN,-6.41803261299946,2001-01-01
BEN,-6.65469893485364,2002-01-01
BEN,-5.57030608720719,2003-01-01
BEN,-5.47186197660572,2004-01-01
BEN,-7.29738187887892,2005-01-01
BEN,-7.53967043945691,2006-01-01
BEN,-6.80305403656617,2007-01-01
BEN,-7.46537732897502,2008-01-01
BEN,-8.2680963402641,2009-01-01
BEN,-9.43469818257604,2010-01-01
BEN,-8.96961494603869,2011-01-01
BEN,-9.83222936640608,2012-01-01
BEN,-8.85061604126959,2013-01-01
BEN,-8.41130919141598,2014-01-01
BEN,-7.06819144849977,2015-01-01
BEN,-7.13699764578944,2016-01-01
BEN,-6.66735008514301,2017-01-01
BEN,-5.63940852365686,2018-01-01
BEN,-5.36627859750058,2019-01-01
BEN,-3.88123312273871,2020-01-01
BEN,-4.56373976040447,2021-01-01
BEN,-3.99925713580858,2022-01-01
BEN,-3.96850453594423,2023-01-01
BFA,-4.32062302223744,1995-01-01
BFA,-4.41350192860578,1996-01-01
BFA,-4.36915846313627,1997-01-01
BFA,-4.55529889463567,1998-01-01
BFA,-4.620683980528,1999-01-01
BFA,-4.42628299567127,2000-01-01
BFA,-4.19800313135309,2001-01-01
BFA,-4.21304496359271,2002-01-01
BFA,-5.16684419644249,2003-01-01
BFA,-4.7848575160548,2004-01-01
BFA,-5.43603833260671,2005-01-01
BFA,-8.13153233173824,2006-01-01
BFA,-7.74834939057714,2007-01-01
BFA,-7.3759975482573,2008-01-01
BFA,-6.72307606804616,2009-01-01
BFA,-6.49697985435431,2010-01-01
BFA,-6.35873895537773,2011-01-01
BFA,-6.58609830904612,2012-01-01
BFA,-6.48259832217762,2013-01-01
BFA,-5.65839990629971,2014-01-01
BFA,-5.26911410186875,2015-01-01
BFA,-3.46971991681727,2016-01-01
BFA,-2.70382288907989,2017-01-01
BFA,-2.52593229977214,2018-01-01
BFA,-2.93243316024299,2019-01-01
BFA,-2.89255300475904,2020-01-01
BFA,-2.67494882375357,2021-01-01
BFA,-2.88871556199776,2022-01-01
BFA,-3.05508283118971,2023-01-01
BGD,-4.90478338907828,1995-01-01
BGD,-4.86534893566093,1996-01-01
BGD,-4.77656164331421,1997-01-01
BGD,-3.94554175201907,1998-01-01
BGD,-4.68572570046497,1999-01-01
BGD,-5.40092811430818,2000-01-01
BGD,-5.94592610365333,2001-01-01
BGD,-6.25299914770777,2002-01-01
BGD,-6.64438069580426,2003-01-01
BGD,-6.88070186810975,2004-01-01
BGD,-4.98243481556017,2005-01-01
BGD,-1.37032439067566,2006-01-01
BGD,-0.245604819066564,2007-01-01
BGD,0.199644111100305,2008-01-01
BGD,0.240765631016949,2009-01-01
BGD,1.61920967921505,2010-01-01
BGD,1.47929964315171,2011-01-01
BGD,2.79509906463826,2012-01-01
BGD,2.74296952609315,2013-01-01
BGD,-8.42682669144877,2014-01-01
BGD,-7.81537894815726,2015-01-01
BGD,-7.22136124718843,2016-01-01
BGD,-6.95277838080979,2017-01-01
BGD,-7.35407544327697,2018-01-01
BGD,-7.79969906678055,2019-01-01
BGD,-7.75846190599573,2020-01-01
BGD,-9.39070876508568,2021-01-01
BGD,-10.6621031783845,2022-01-01
BGD,-11.0330236344897,2023-01-01
BGR,5.63461601220864,1995-01-01
BGR,6.39744100156928,1996-01-01
BGR,7.82397874117741,1997-01-01
BGR,7.58538617302768,1998-01-01
BGR,7.6559305531505,1999-01-01
BGR,6.82829476392303,2000-01-01
BGR,6.65643081581663,2001-01-01
BGR,6.86476672900667,2002-01-01
BGR,7.52946743809725,2003-01-01
BGR,8.01616137120025,2004-01-01
BGR,7.62356219439492,2005-01-01
BGR,6.57386969546373,2006-01-01
BGR,5.77763529981742,2007-01-01
BGR,5.03387915240296,2008-01-01
BGR,5.52776881764018,2009-01-01
BGR,5.22170057670068,2010-01-01
BGR,5.40420915994015,2011-01-01
BGR,5.47994730652096,2012-01-01
BGR,5.68885158882986,2013-01-01
BGR,5.94737629539304,2014-01-01
BGR,5.61842707393896,2015-01-01
BGR,4.94935130697863,2016-01-01
BGR,4.29473358577925,2017-01-01
BGR,4.78460985241514,2018-01-01
BGR,3.93602584193017,2019-01-01
BGR,3.31297556119648,2020-01-01
BGR,2.31236599544582,2021-01-01
BGR,-0.540500211987862,2022-01-01
BGR,-1.49358507162896,2023-01-01
BHR,-9.33969579061866,1995-01-01
BHR,-9.91929631690026,1996-01-01
BHR,-10.2619670595981,1997-01-01
BHR,-10.7543540249983,1998-01-01
BHR,-10.8434457429186,1999-01-01
BHR,-11.214387223575,2000-01-01
BHR,-10.297404622487,2001-01-01
BHR,-8.81721791869499,2002-01-01
BHR,-10.2075101970303,2003-01-01
BHR,-10.233012202082,2004-01-01
BHR,-9.82185891425647,2005-01-01
BHR,-7.31201914563508,2006-01-01
BHR,-7.35324456849684,2007-01-01
BHR,-10.4893535894708,2008-01-01
BHR,-9.55441077647311,2009-01-01
BHR,-9.64653329958285,2010-01-01
BHR,-10.2040129464941,2011-01-01
BHR,-10.9414672206191,2012-01-01
BHR,-10.4298425926738,2013-01-01
BHR,-9.68666776552127,2014-01-01
BHR,-7.8908897612508,2015-01-01
BHR,-8.67303969147234,2016-01-01
BHR,-10.2018130504212,2017-01-01
BHR,-10.9074165473518,2018-01-01
BHR,-12.1489767684888,2019-01-01
BHR,-9.7193610198246,2020-01-01
BHR,-8.73318425720586,2021-01-01
BHR,-11.1061314993656,2022-01-01
BHR,-11.9046607382377,2023-01-01
BHS,0.242111301206904,1995-01-01
BHS,-0.075510363330757,1996-01-01
BHS,0.140448753476427,1997-01-01
BHS,-0.0084937460096554,1998-01-01
BHS,-0.644536675055235,1999-01-01
BHS,-0.989092289855058,2000-01-01
BHS,-0.985597667383395,2001-01-01
BHS,-0.898373456164592,2002-01-01
BHS,-0.78539138630164,2003-01-01
BHS,-0.848409340774879,2004-01-01
BHS,-0.535116565053023,2005-01-01
BHS,2.5323943928005,2006-01-01
BHS,2.31430139083126,2007-01-01
BHS,-2.12976586098392,2008-01-01
BHS,-1.57017377370695,2009-01-01
BHS,-1.63694779989437,2010-01-01
BHS,-1.62524338818682,2011-01-01
BHS,-1.53261055425622,2012-01-01
BHS,-1.32228849789539,2013-01-01
BHS,-1.4689695783611,2014-01-01
BHS,-2.49912345649236,2015-01-01
BHS,-2.94063438706488,2016-01-01
BHS,-3.65843636787722,2017-01-01
BHS,-4.20170937156102,2018-01-01
BHS,-4.13222830498017,2019-01-01
BHS,-0.929516103757983,2020-01-01
BHS,-1.98838864671558,2021-01-01
BHS,-3.62675695536524,2022-01-01
BHS,-4.25551806175837,2023-01-01
BIH,5.54629810649291,1995-01-01
BIH,5.4133646881954,1996-01-01
BIH,5.18646780099325,1997-01-01
BIH,4.84972496619515,1998-01-01
BIH,4.39840036515147,1999-01-01
BIH,3.959062902092,2000-01-01
BIH,4.8308757040998,2001-01-01
BIH,5.08281091781389,2002-01-01
BIH,5.4578737472448,2003-01-01
BIH,5.33923629051438,2004-01-01
BIH,5.42115983927959,2005-01-01
BIH,3.73128029653434,2006-01-01
BIH,3.41712487098084,2007-01-01
BIH,3.47560260753208,2008-01-01
BIH,3.34757527670463,2009-01-01
BIH,3.46595905042298,2010-01-01
BIH,3.81992226481842,2011-01-01
BIH,3.9363692557415,2012-01-01
BIH,4.51262703345385,2013-01-01
BIH,4.88680173407788,2014-01-01
BIH,3.97140848467403,2015-01-01
BIH,3.65313896583105,2016-01-01
BIH,3.36019263741737,2017-01-01
BIH,2.98234280853374,2018-01-01
BIH,1.80246289166961,2019-01-01
BIH,1.81265375229298,2020-01-01
BIH,1.16035385602185,2021-01-01
BIH,0.0053086816599545,2022-01-01
BIH,-0.0804657644764504,2023-01-01
BLR,7.12628647071396,1995-01-01
BLR,7.43906551531926,1996-01-01
BLR,7.44973427202883,1997-01-01
BLR,7.95520741392932,1998-01-01
BLR,7.69286099214189,1999-01-01
BLR,7.03990960248073,2000-01-01
BLR,6.73617284092956,2001-01-01
BLR,6.29893191411242,2002-01-01
BLR,7.1853423757436,2003-01-01
BLR,6.43244152460945,2004-01-01
BLR,6.18613620729423,2005-01-01
BLR,4.28291947422357,2006-01-01
BLR,4.36950421547937,2007-01-01
BLR,4.52284097417051,2008-01-01
BLR,6.66125506302071,2009-01-01
BLR,6.4428164144607,2010-01-01
BLR,6.88312056201175,2011-01-01
BLR,7.75077903193862,2012-01-01
BLR,7.71474168673052,2013-01-01
BLR,7.55183077154207,2014-01-01
BLR,7.7014774140192,2015-01-01
BLR,9.14122137632194,2016-01-01
BLR,10.1323584965903,2017-01-01
BLR,9.81338859164298,2018-01-01
BLR,9.91493713998185,2019-01-01
BLR,8.38159120683952,2020-01-01
BLR,6.81567382203251,2021-01-01
BLR,5.46974747350341,2022-01-01
BLR,4.18183147420726,2023-01-01
BLZ,-0.714780557932968,1995-01-01
BLZ,-0.29258985399936,1996-01-01
BLZ,-0.425458421663663,1997-01-01
BLZ,-0.0503846579440079,1998-01-01
BLZ,-0.251967387882679,1999-01-01
BLZ,-0.236716632687283,2000-01-01
BLZ,-0.418383822739216,2001-01-01
BLZ,0.266632482683583,2002-01-01
BLZ,-0.183539633773009,2003-01-01
BLZ,-0.89829704304988,2004-01-01
BLZ,0.0489135053014564,2005-01-01
BLZ,-2.95403404093275,2006-01-01
BLZ,-3.21585250540116,2007-01-01
BLZ,-2.89201111645556,2008-01-01
BLZ,-1.30502561745939,2009-01-01
BLZ,-1.67518194389457,2010-01-01
BLZ,-2.71912240114614,2011-01-01
BLZ,-1.32691513080449,2012-01-01
BLZ,-0.644308572349416,2013-01-01
BLZ,-1.68386370572808,2014-01-01
BLZ,-1.2854417331427,2015-01-01
BLZ,-1.09973108488848,2016-01-01
BLZ,-1.13076770203855,2017-01-01
BLZ,-0.841819701464082,2018-01-01
BLZ,-1.68817147901053,2019-01-01
BLZ,-1.43689777086424,2020-01-01
BLZ,-2.80941995346804,2021-01-01
BLZ,-3.42842634672413,2022-01-01
BLZ,-3.52299594101601,2023-01-01
BOL,-3.43184367324429,1995-01-01
BOL,-3.31740121339658,1996-01-01
BOL,-2.59473081899281,1997-01-01
BOL,-1.91386849521111,1998-01-01
BOL,-2.10393372468792,1999-01-01
BOL,-2.4479388187102,2000-01-01
BOL,-2.99680348650329,2001-01-01
BOL,-3.9943385943441,2002-01-01
BOL,-3.29926354226441,2003-01-01
BOL,-2.72043681916278,2004-01-01
BOL,-3.43508348803095,2005-01-01
BOL,-2.70347692147244,2006-01-01
BOL,-2.37117854054012,2007-01-01
BOL,-2.80074382545983,2008-01-01
BOL,-2.88669306636356,2009-01-01
BOL,-2.24899024727261,2010-01-01
BOL,-2.54819736938563,2011-01-01
BOL,-3.34876346375928,2012-01-01
BOL,-2.90996042871973,2013-01-01
BOL,-3.28000540517422,2014-01-01
BOL,-3.70444069968075,2015-01-01
BOL,-3.41255217968266,2016-01-01
BOL,-2.92748336034217,2017-01-01
BOL,-2.98078432750026,2018-01-01
BOL,-3.31265769861677,2019-01-01
BOL,-3.20007650941161,2020-01-01
BOL,-3.95588213180635,2021-01-01
BOL,-4.3876776699964,2022-01-01
BOL,-4.38151651793179,2023-01-01
BRA,2.38623530250638,1995-01-01
BRA,2.25120956120661,1996-01-01
BRA,2.37188636623426,1997-01-01
BRA,2.69459439817593,1998-01-01
BRA,2.87895489943612,1999-01-01
BRA,2.89419186044358,2000-01-01
BRA,3.18676540970181,2001-01-01
BRA,3.54027875877125,2002-01-01
BRA,3.78869877579331,2003-01-01
BRA,3.37135265350328,2004-01-01
BRA,3.38470348099786,2005-01-01
BRA,4.86584955863571,2006-01-01
BRA,4.86817355102546,2007-01-01
BRA,5.07434643697254,2008-01-01
BRA,5.15615941405542,2009-01-01
BRA,5.84010563099561,2010-01-01
BRA,6.1541492157916,2011-01-01
BRA,5.51571889687158,2012-01-01
BRA,5.43307070981904,2013-01-01
BRA,0.369576064610726,2014-01-01
BRA,0.671144677384738,2015-01-01
BRA,1.20353829890249,2016-01-01
BRA,0.637936283882262,2017-01-01
BRA,0.566149165308154,2018-01-01
BRA,0.718775070345828,2019-01-01
BRA,0.700242166779432,2020-01-01
BRA,-0.331931310797152,2021-01-01
BRA,-1.11830765181086,2022-01-01
BRA,-1.30947965461499,2023-01-01
BRB,11.2339818490986,1995-01-01
BRB,11.0029229382431,1996-01-01
BRB,10.6796118906564,1997-01-01
BRB,10.4748116951947,1998-01-01
BRB,10.458749118032,1999-01-01
BRB,10.3887828158676,2000-01-01
BRB,10.457074368082,2001-01-01
BRB,10.0075525006501,2002-01-01
BRB,10.3424308088332,2003-01-01
BRB,10.6397866702666,2004-01-01
BRB,11.2909552342469,2005-01-01
BRB,13.9924624148883,2006-01-01
BRB,14.1123065193072,2007-01-01
BRB,14.1501179597376,2008-01-01
BRB,14.269457572678,2009-01-01
